call_id,call_date,hour_of_day,platform,intent,call_duration_sec,num_turns,num_reprompts,asr_confidence,api_latency_ms,transferred_to_agent,csat_score
C10279,2026-01-20,14,Legacy IVR,Recent Transactions,191.0,7,2,0.699,416.0,0,3.0
C10280,2026-01-20,16,Legacy IVR,Rewards Redemption,406.0,9,1,0.913,258.0,0,4.0
C10281,2026-01-20,17,Legacy IVR,Recent Transactions,194.0,6,0,0.807,193.0,0,5.0
C10282,2026-01-20,21,Legacy IVR,Rewards Redemption,393.0,9,2,0.724,390.0,0,4.0
C10283,2026-01-20,22,Legacy IVR,Make a Payment,363.0,8,4,0.818,274.0,0,3.0
C10284,2026-01-21,6,New Platform,Make a Payment,295.0,8,2,0.967,171.0,0,
C10285,2026-01-21,7,Legacy IVR,Recent Transactions,163.0,5,0,0.968,266.0,0,4.0
C10286,2026-01-21,12,New Platform,Rewards Redemption,266.0,8,0,0.875,191.0,0,4.0
C10287,2026-01-21,12,Legacy IVR,Make a Payment,261.0,8,2,0.755,305.0,0,
C10288,2026-01-21,15,Legacy IVR,Rewards Redemption,289.0,6,0,0.482,248.0,0,4.0
C10289,2026-01-21,17,Legacy IVR,Balance Inquiry,145.0,5,0,0.717,252.0,0,5.0
C10290,2026-01-21,21,Legacy IVR,Cancel a Payment,2497.0,6,1,0.652,187.0,0,3.0
C10291,2026-01-21,22,New Platform,Make a Payment,143.0,5,1,0.878,117.0,0,3.0
C10292,2026-01-22,7,Legacy IVR,Make a Payment,380.0,6,0,0.648,307.0,1,2.0
C10293,2026-01-22,8,Legacy IVR,Recent Transactions,192.0,6,0,0.87,161.0,0,3.0
C10294,2026-01-22,8,Legacy IVR,Rewards Redemption,338.0,8,1,0.856,136.0,0,5.0
C10295,2026-01-22,9,Legacy IVR,Rewards Redemption,345.0,11,1,,288.0,0,3.0
C10296,2026-01-22,9,New Platform,Balance Inquiry,144.0,5,1,0.983,195.0,0,4.0
C10297,2026-01-22,10,New Platform,Recent Transactions,242.0,8,1,0.919,184.0,0,5.0
C10298,2026-01-22,10,Legacy IVR,Rewards Redemption,369.0,6,2,0.938,176.0,0,4.0
C10299,2026-01-22,11,New Platform,Balance Inquiry,109.0,4,0,0.836,121.0,0,5.0
C10300,2026-01-22,11,New Platform,Make a Payment,441.0,12,3,,94.0,1,2.0
C10301,2026-01-22,11,Legacy IVR,Recent Transactions,185.0,4,1,0.819,341.0,0,5.0
C10302,2026-01-22,15,Legacy IVR,Balance Inquiry,179.0,8,0,0.687,110.0,0,4.0
C10303,2026-01-22,17,New Platform,Cancel a Payment,243.0,7,0,0.918,172.0,0,5.0
C10304,2026-01-22,18,New Platform,Make a Payment,199.0,8,1,0.986,291.0,0,4.0
C10305,2026-01-22,20,Legacy IVR,,,5,1,0.767,244.0,0,4.0
C10306,2026-01-22,22,Legacy IVR,Cancel a Payment,306.0,12,2,0.947,170.0,0,3.0
C10307,2026-01-22,22,Legacy IVR,Recent Transactions,286.0,9,3,0.842,216.0,0,4.0
C10308,2026-01-23,8,New Platform,Balance Inquiry,89.0,3,0,0.784,176.0,0,5.0
C10309,2026-01-23,9,New Platform,Cancel a Payment,197.0,8,1,0.877,210.0,0,4.0
C10310,2026-01-23,11,New Platform,Make a Payment,309.0,6,0,0.889,152.0,0,5.0
C10311,2026-01-23,13,New Platform,Recent Transactions,233.0,7,0,0.828,185.0,0,
C10312,2026-01-23,16,New Platform,Balance Inquiry,96.0,5,0,0.772,252.0,0,5.0
C10313,2026-01-23,18,Legacy IVR,Rewards Redemption,411.0,8,0,0.823,301.0,0,5.0
C10314,2026-01-23,19,Legacy IVR,Cancel a Payment,369.0,8,1,0.905,207.0,0,3.0
C10315,2026-01-23,20,Legacy IVR,Balance Inquiry,320.0,7,1,0.824,,1,3.0
C10316,2026-01-23,22,Legacy IVR,Rewards Redemption,443.0,7,0,0.596,224.0,1,3.0
C10317,2026-01-24,6,Legacy IVR,Recent Transactions,204.0,6,1,,275.0,0,4.0
C10318,2026-01-24,9,New Platform,Balance Inquiry,197.0,4,1,0.908,,1,3.0
C10319,2026-01-24,9,Legacy IVR,Make a Payment,277.0,10,2,0.823,135.0,0,4.0
C10320,2026-01-24,10,Legacy IVR,Cancel a Payment,315.0,9,1,0.754,304.0,0,3.0
C10321,2026-01-24,11,New Platform,Recent Transactions,202.0,6,1,0.939,,0,4.0
C10322,2026-01-24,11,Legacy IVR,Balance Inquiry,126.0,4,0,0.745,285.0,0,5.0
C10323,2026-01-24,11,New Platform,Make a Payment,302.0,11,2,0.82,275.0,0,4.0
C10324,2026-01-24,11,Legacy IVR,Make a Payment,336.0,5,2,0.823,266.0,0,3.0
C10325,2026-01-24,12,Legacy IVR,Balance Inquiry,178.0,7,2,0.809,312.0,0,3.0
C10326,2026-01-24,12,Legacy IVR,Rewards Redemption,,8,1,0.697,306.0,0,4.0
C10327,2026-01-24,17,New Platform,Make a Payment,192.0,6,0,0.802,172.0,0,4.0
C10328,2026-01-24,19,Legacy IVR,Balance Inquiry,229.0,11,2,0.766,319.0,0,3.0
C10329,2026-01-24,21,Legacy IVR,Make a Payment,190.0,4,0,0.757,191.0,0,4.0
C10330,2026-01-25,6,Legacy IVR,Make a Payment,276.0,10,2,0.775,178.0,0,4.0
C10331,2026-01-25,7,Legacy IVR,Recent Transactions,224.0,7,1,0.72,248.0,0,4.0
C10332,2026-01-25,10,New Platform,Cancel a Payment,258.0,5,0,0.686,409.0,0,4.0
C10333,2026-01-25,11,Legacy IVR,Rewards Redemption,425.0,11,1,,200.0,0,4.0
C10334,2026-01-25,11,Legacy IVR,Balance Inquiry,125.0,5,0,,215.0,0,
C10335,2026-01-25,12,Legacy IVR,Cancel a Payment,,8,2,0.882,2304.0,0,3.0
C10336,2026-01-25,13,New Platform,Recent Transactions,163.0,8,1,0.848,164.0,0,4.0
C10337,2026-01-25,15,New Platform,Recent Transactions,159.0,5,1,0.74,231.0,0,3.0
C10338,2026-01-25,16,Legacy IVR,Cancel a Payment,358.0,10,1,0.92,207.0,0,4.0
C10339,2026-01-25,17,Legacy IVR,,375.0,5,1,0.727,174.0,1,4.0
C10340,2026-01-25,18,New Platform,Balance Inquiry,123.0,4,0,0.795,282.0,0,4.0
C10341,2026-01-25,19,Legacy IVR,Make a Payment,303.0,11,3,0.877,199.0,0,3.0
C10342,2026-01-25,19,Legacy IVR,Rewards Redemption,467.0,4,0,0.701,296.0,1,4.0
C10343,2026-01-25,20,Legacy IVR,Recent Transactions,266.0,11,2,0.789,199.0,0,4.0
C10344,2026-01-25,22,New Platform,Recent Transactions,133.0,4,0,0.904,138.0,0,5.0
C10345,2026-01-26,6,Legacy IVR,Make a Payment,300.0,6,0,0.724,,0,4.0
C10346,2026-01-26,8,Legacy IVR,Recent Transactions,261.0,7,3,0.833,286.0,0,3.0
C10347,2026-01-26,8,Legacy IVR,Make a Payment,283.0,6,0,0.702,250.0,0,3.0
C10348,2026-01-26,8,New Platform,Make a Payment,187.0,6,0,,184.0,0,
C10349,2026-01-26,9,New Platform,Rewards Redemption,421.0,10,1,0.926,145.0,1,4.0
C10350,2026-01-26,10,New Platform,Cancel a Payment,367.0,3,0,0.844,1818.0,0,5.0
C10351,2026-01-26,10,Legacy IVR,Make a Payment,270.0,8,3,0.893,231.0,0,4.0
C10352,2026-01-26,12,New Platform,Make a Payment,264.0,8,1,0.807,143.0,0,4.0
C10353,2026-01-26,12,Legacy IVR,Recent Transactions,194.0,8,0,0.898,293.0,0,5.0
C10354,2026-01-26,12,Legacy IVR,Make a Payment,353.0,11,3,0.55,193.0,0,3.0
C10355,2026-01-26,17,Legacy IVR,Make a Payment,330.0,7,3,0.842,181.0,0,3.0
C10356,2026-01-26,18,New Platform,Rewards Redemption,352.0,10,1,0.814,121.0,0,
C10357,2026-01-26,20,Legacy IVR,Balance Inquiry,231.0,10,2,0.717,193.0,0,3.0
C10358,2026-01-26,20,New Platform,Recent Transactions,1726.0,6,0,0.831,303.0,0,5.0
C10359,2026-01-26,20,Legacy IVR,Rewards Redemption,546.0,12,2,0.707,,1,2.0
C10360,2026-01-26,20,Legacy IVR,Rewards Redemption,307.0,8,1,0.744,249.0,0,4.0
C10361,2026-01-26,21,New Platform,Make a Payment,207.0,9,0,0.952,175.0,0,5.0
C10362,2026-01-26,21,Legacy IVR,Cancel a Payment,432.0,12,3,0.848,307.0,0,3.0
C10363,2026-01-26,22,Legacy IVR,Make a Payment,312.0,7,0,0.876,206.0,0,5.0
C10364,2026-01-26,22,New Platform,Rewards Redemption,388.0,10,2,0.944,200.0,0,4.0
C10365,2026-01-27,8,New Platform,Make a Payment,306.0,9,3,0.844,182.0,0,4.0
C10366,2026-01-27,14,Legacy IVR,Make a Payment,304.0,8,1,0.782,283.0,0,4.0
C10367,2026-01-27,16,New Platform,Balance Inquiry,115.0,5,0,0.965,187.0,0,4.0
C10368,2026-01-27,16,New Platform,Make a Payment,208.0,7,0,0.982,159.0,0,4.0
C10369,2026-01-27,17,New Platform,Recent Transactions,188.0,5,0,0.895,211.0,0,5.0
C10370,2026-01-27,17,New Platform,Balance Inquiry,164.0,5,2,0.978,151.0,0,4.0
C10371,2026-01-27,17,New Platform,Balance Inquiry,141.0,6,0,,290.0,0,4.0
C10372,2026-01-27,21,Legacy IVR,Rewards Redemption,309.0,7,1,0.888,316.0,0,5.0
C10373,2026-01-28,9,Legacy IVR,Balance Inquiry,149.0,6,2,0.669,192.0,0,3.0
C10374,2026-01-28,12,Legacy IVR,Recent Transactions,205.0,5,0,0.827,,0,4.0
C10375,2026-01-28,12,Legacy IVR,Make a Payment,424.0,6,2,0.917,284.0,1,2.0
C10376,2026-01-28,13,Legacy IVR,Rewards Redemption,334.0,11,2,0.73,318.0,0,3.0
C10377,2026-01-28,13,New Platform,Balance Inquiry,106.0,4,0,0.865,276.0,0,3.0
C10378,2026-01-28,17,New Platform,Recent Transactions,117.0,5,0,0.857,188.0,0,
C10379,2026-01-28,18,New Platform,Balance Inquiry,119.0,5,0,0.941,120.0,0,5.0
C10380,2026-01-28,19,Legacy IVR,Make a Payment,376.0,8,2,0.791,219.0,1,2.0
C10381,2026-01-28,22,New Platform,Cancel a Payment,213.0,3,0,0.885,229.0,0,5.0
C10382,2026-01-29,6,New Platform,Make a Payment,,6,0,0.945,224.0,0,4.0
C10383,2026-01-29,8,Legacy IVR,Recent Transactions,253.0,8,3,0.95,221.0,0,3.0
C10384,2026-01-29,8,Legacy IVR,,270.0,6,0,,322.0,0,
C10385,2026-01-29,8,New Platform,Rewards Redemption,290.0,12,0,0.89,136.0,0,4.0
C10386,2026-01-29,10,New Platform,Recent Transactions,210.0,7,1,0.907,188.0,0,3.0
C10387,2026-01-29,15,Legacy IVR,Recent Transactions,225.0,5,1,0.771,242.0,0,3.0
C10388,2026-01-29,17,Legacy IVR,Make a Payment,430.0,5,1,0.792,1812.0,1,3.0
C10389,2026-01-29,18,Legacy IVR,Rewards Redemption,349.0,11,2,0.862,276.0,0,
C10390,2026-01-29,19,Legacy IVR,Recent Transactions,151.0,4,0,0.901,174.0,0,5.0
C10391,2026-01-29,20,Legacy IVR,Balance Inquiry,177.0,4,1,0.84,178.0,0,4.0
C10392,2026-01-29,22,Legacy IVR,Cancel a Payment,326.0,6,0,0.871,186.0,0,5.0
C10393,2026-01-30,8,Legacy IVR,Cancel a Payment,271.0,9,1,0.917,269.0,0,4.0
C10394,2026-01-30,8,New Platform,Balance Inquiry,98.0,3,0,0.875,204.0,0,4.0
C10395,2026-01-30,11,Legacy IVR,Cancel a Payment,383.0,8,1,0.666,198.0,0,
C10396,2026-01-30,11,New Platform,Rewards Redemption,376.0,7,0,0.846,167.0,1,3.0
C10397,2026-01-30,13,New Platform,Make a Payment,203.0,7,0,0.884,165.0,0,4.0
C10398,2026-01-30,13,Legacy IVR,Recent Transactions,286.0,7,1,0.9,259.0,1,
C10399,2026-01-30,14,Legacy IVR,Balance Inquiry,157.0,6,1,0.829,280.0,0,4.0
C10400,2026-01-30,14,Legacy IVR,Make a Payment,312.0,9,3,0.792,245.0,0,3.0
C10401,2026-01-30,17,Legacy IVR,,221.0,5,0,0.888,341.0,0,3.0
C10402,2026-01-30,19,New Platform,Recent Transactions,209.0,6,1,0.766,160.0,0,3.0
C10403,2026-01-30,20,New Platform,Make a Payment,144.0,7,0,0.88,169.0,0,4.0
C10404,2026-01-31,6,Legacy IVR,Make a Payment,205.0,6,0,0.746,156.0,0,4.0
C10405,2026-01-31,6,New Platform,Make a Payment,265.0,8,0,0.978,207.0,0,4.0
C10406,2026-01-31,7,Legacy IVR,Make a Payment,322.0,8,1,,171.0,0,4.0
C10407,2026-01-31,9,New Platform,Balance Inquiry,103.0,4,0,0.851,273.0,0,4.0
C10408,2026-01-31,9,New Platform,Make a Payment,287.0,8,1,0.864,261.0,0,5.0
C10409,2026-01-31,10,New Platform,Make a Payment,299.0,5,1,0.943,176.0,0,4.0
C10410,2026-01-31,11,New Platform,Make a Payment,359.0,7,1,0.849,140.0,1,2.0
C10411,2026-01-31,11,Legacy IVR,Make a Payment,481.0,9,2,0.835,371.0,1,
C10412,2026-01-31,11,New Platform,Make a Payment,235.0,9,1,0.897,241.0,0,5.0
C10413,2026-01-31,11,Legacy IVR,Cancel a Payment,243.0,6,0,0.784,234.0,0,4.0
C10414,2026-01-31,15,New Platform,Balance Inquiry,149.0,5,2,0.912,239.0,0,4.0
C10415,2026-01-31,18,Legacy IVR,Recent Transactions,347.0,7,2,0.756,213.0,0,4.0
C10416,2026-01-31,20,Legacy IVR,Make a Payment,378.0,8,1,0.795,185.0,0,4.0
C10417,2026-01-31,20,Legacy IVR,Recent Transactions,265.0,8,2,0.778,187.0,0,3.0
C10418,2026-01-31,20,Legacy IVR,Cancel a Payment,408.0,8,2,0.863,152.0,0,4.0
C10419,2026-01-31,20,Legacy IVR,Rewards Redemption,282.0,6,1,0.703,275.0,0,4.0
C10420,2026-01-31,21,Legacy IVR,Make a Payment,422.0,12,2,0.781,306.0,0,4.0
C10421,2026-01-31,21,New Platform,Make a Payment,260.0,9,2,0.967,201.0,0,4.0
C10422,2026-01-31,21,New Platform,Recent Transactions,224.0,5,0,0.944,981.0,0,4.0
C10423,2026-01-31,22,Legacy IVR,Cancel a Payment,502.0,7,2,0.91,389.0,1,4.0
C10424,2026-02-01,6,New Platform,Balance Inquiry,199.0,3,0,0.808,136.0,1,3.0
C10425,2026-02-01,9,New Platform,Make a Payment,225.0,5,1,0.841,149.0,0,4.0
C10426,2026-02-01,9,Legacy IVR,Cancel a Payment,276.0,4,0,0.858,326.0,0,5.0
C10427,2026-02-01,11,New Platform,Cancel a Payment,214.0,9,0,,167.0,0,3.0
C10428,2026-02-01,11,Legacy IVR,Make a Payment,259.0,7,0,0.818,267.0,0,5.0
C10429,2026-02-01,16,New Platform,Balance Inquiry,196.0,9,1,,150.0,0,4.0
C10430,2026-02-01,17,New Platform,Make a Payment,241.0,8,0,0.952,230.0,0,5.0
C10431,2026-02-02,7,Legacy IVR,Rewards Redemption,397.0,10,3,0.589,217.0,0,3.0
C10432,2026-02-02,8,Legacy IVR,Make a Payment,387.0,10,0,0.759,277.0,1,3.0
C10433,2026-02-02,8,Legacy IVR,Balance Inquiry,123.0,3,0,0.912,208.0,0,3.0
C10434,2026-02-02,9,New Platform,Make a Payment,147.0,5,0,0.832,182.0,0,3.0
C10435,2026-02-02,10,New Platform,Cancel a Payment,256.0,6,0,0.894,338.0,0,5.0
C10436,2026-02-02,11,Legacy IVR,Balance Inquiry,236.0,6,1,0.667,287.0,1,3.0
C10437,2026-02-02,11,New Platform,Balance Inquiry,194.0,10,3,0.989,192.0,0,3.0
C10438,2026-02-02,12,Legacy IVR,Balance Inquiry,159.0,4,1,0.77,216.0,0,3.0
C10439,2026-02-02,12,Legacy IVR,Rewards Redemption,475.0,9,1,0.628,240.0,1,3.0
C10440,2026-02-02,13,Legacy IVR,,190.0,6,1,0.792,180.0,0,
C10441,2026-02-02,15,Legacy IVR,Make a Payment,264.0,9,1,0.796,186.0,0,5.0
C10442,2026-02-02,16,New Platform,Make a Payment,240.0,7,0,0.866,168.0,0,4.0
C10443,2026-02-02,16,New Platform,Rewards Redemption,221.0,8,0,0.933,195.0,0,
C10444,2026-02-02,17,Legacy IVR,Recent Transactions,147.0,3,0,0.894,277.0,0,4.0
C10445,2026-02-02,17,New Platform,Cancel a Payment,248.0,7,0,0.919,239.0,0,4.0
C10446,2026-02-02,19,Legacy IVR,Recent Transactions,160.0,6,0,,236.0,0,5.0
C10447,2026-02-02,21,Legacy IVR,Make a Payment,248.0,6,0,0.845,253.0,0,5.0
C10448,2026-02-03,10,Legacy IVR,Rewards Redemption,303.0,8,1,0.823,233.0,0,3.0
C10449,2026-02-03,10,Legacy IVR,Rewards Redemption,439.0,9,0,0.802,165.0,1,4.0
C10450,2026-02-03,12,Legacy IVR,Make a Payment,485.0,9,2,0.675,174.0,1,3.0
C10451,2026-02-03,14,Legacy IVR,Make a Payment,268.0,4,1,0.847,393.0,0,3.0
C10452,2026-02-03,19,Legacy IVR,Make a Payment,402.0,4,0,0.879,2108.0,0,4.0
C10453,2026-02-03,22,Legacy IVR,Cancel a Payment,383.0,9,0,0.705,213.0,0,4.0
C10454,2026-02-04,7,Legacy IVR,Make a Payment,271.0,5,2,0.588,299.0,0,3.0
C10455,2026-02-04,7,Legacy IVR,Make a Payment,319.0,9,1,0.837,264.0,0,
C10456,2026-02-04,10,Legacy IVR,Rewards Redemption,275.0,7,1,0.924,157.0,0,
C10457,2026-02-04,11,Legacy IVR,Make a Payment,394.0,7,2,0.751,209.0,0,5.0
C10458,2026-02-04,14,New Platform,Make a Payment,266.0,5,1,0.913,221.0,0,
C10459,2026-02-04,15,Legacy IVR,Make a Payment,352.0,6,2,0.757,173.0,0,3.0
C10460,2026-02-04,16,New Platform,Make a Payment,245.0,6,0,0.903,215.0,0,5.0
C10461,2026-02-04,17,Legacy IVR,Cancel a Payment,338.0,9,2,0.761,281.0,0,4.0
C10462,2026-02-04,17,Legacy IVR,,294.0,9,1,0.793,152.0,0,4.0
C10463,2026-02-04,17,Legacy IVR,Make a Payment,449.0,6,1,0.86,1724.0,1,2.0
C10464,2026-02-05,6,Legacy IVR,Cancel a Payment,302.0,7,1,0.793,160.0,0,3.0
C10465,2026-02-05,9,Legacy IVR,Make a Payment,401.0,9,2,0.826,225.0,1,1.0
C10466,2026-02-05,9,Legacy IVR,Cancel a Payment,266.0,9,1,,268.0,0,4.0
C10467,2026-02-05,11,New Platform,Make a Payment,276.0,8,0,0.883,189.0,0,
C10468,2026-02-05,11,New Platform,Make a Payment,247.0,5,0,0.931,180.0,0,4.0
C10469,2026-02-05,12,Legacy IVR,Recent Transactions,262.0,10,2,0.708,205.0,0,3.0
C10470,2026-02-05,12,Legacy IVR,Rewards Redemption,329.0,7,2,0.772,112.0,0,4.0
C10471,2026-02-05,12,Legacy IVR,Cancel a Payment,267.0,10,0,0.786,284.0,0,4.0
C10472,2026-02-05,13,Legacy IVR,Recent Transactions,201.0,5,0,0.569,258.0,0,3.0
C10473,2026-02-05,14,New Platform,Cancel a Payment,369.0,11,0,0.843,267.0,1,3.0
C10474,2026-02-05,18,Legacy IVR,Make a Payment,449.0,7,3,0.59,350.0,1,2.0
C10475,2026-02-06,6,Legacy IVR,Make a Payment,314.0,9,0,0.802,263.0,0,4.0
C10476,2026-02-06,8,New Platform,Make a Payment,186.0,4,0,0.733,145.0,0,4.0
C10477,2026-02-06,9,Legacy IVR,Balance Inquiry,181.0,6,2,0.925,222.0,0,4.0
C10478,2026-02-06,10,New Platform,Make a Payment,269.0,9,0,0.887,191.0,0,4.0
C10479,2026-02-06,16,Legacy IVR,Make a Payment,258.0,7,0,0.64,375.0,0,4.0
C10480,2026-02-06,17,Legacy IVR,Recent Transactions,208.0,7,1,,188.0,0,5.0
C10481,2026-02-06,18,Legacy IVR,Cancel a Payment,338.0,10,2,0.685,261.0,0,3.0
C10482,2026-02-06,21,Legacy IVR,Balance Inquiry,164.0,3,0,0.922,283.0,0,4.0
C10483,2026-02-06,21,New Platform,Make a Payment,214.0,6,1,0.958,,0,3.0
C10484,2026-02-06,22,Legacy IVR,Balance Inquiry,120.0,6,1,0.898,237.0,0,4.0
C10485,2026-02-07,7,New Platform,Balance Inquiry,92.0,4,0,0.675,147.0,0,4.0
C10486,2026-02-07,8,Legacy IVR,Make a Payment,229.0,6,0,0.912,156.0,0,5.0
C10487,2026-02-07,10,New Platform,Rewards Redemption,251.0,5,0,0.813,,0,4.0
C10488,2026-02-07,11,New Platform,Recent Transactions,166.0,5,0,0.943,222.0,0,
C10489,2026-02-07,12,Legacy IVR,Balance Inquiry,189.0,6,1,0.758,265.0,0,3.0
C10490,2026-02-07,12,Legacy IVR,Recent Transactions,193.0,5,1,0.949,298.0,0,3.0
C10491,2026-02-07,13,Legacy IVR,Cancel a Payment,323.0,7,0,0.952,193.0,0,5.0
C10492,2026-02-07,13,Legacy IVR,Rewards Redemption,325.0,7,1,0.888,184.0,0,4.0
C10493,2026-02-07,13,Legacy IVR,Make a Payment,339.0,8,1,0.867,194.0,0,3.0
C10494,2026-02-07,13,New Platform,Balance Inquiry,128.0,4,1,0.951,228.0,0,4.0
C10495,2026-02-07,14,New Platform,Balance Inquiry,126.0,6,1,0.944,175.0,0,3.0
C10496,2026-02-07,15,New Platform,Cancel a Payment,253.0,5,0,0.932,186.0,0,5.0
C10497,2026-02-07,17,New Platform,Rewards Redemption,271.0,7,0,0.894,193.0,0,3.0
C10498,2026-02-07,18,Legacy IVR,Balance Inquiry,230.0,6,2,0.858,408.0,0,5.0
C10499,2026-02-07,18,Legacy IVR,Balance Inquiry,122.0,5,0,0.855,,0,4.0
C10500,2026-02-07,19,New Platform,Make a Payment,368.0,12,2,0.841,267.0,1,
C10501,2026-02-07,19,Legacy IVR,Cancel a Payment,235.0,6,1,0.614,192.0,0,5.0
C10502,2026-02-07,20,Legacy IVR,Make a Payment,442.0,10,3,0.649,233.0,1,3.0
C10503,2026-02-07,20,Legacy IVR,Rewards Redemption,373.0,6,1,0.751,251.0,0,3.0
C10504,2026-02-07,20,New Platform,Make a Payment,307.0,8,0,0.872,262.0,0,5.0
C10505,2026-02-07,21,Legacy IVR,Recent Transactions,261.0,8,3,0.872,184.0,0,
C10506,2026-02-07,21,Legacy IVR,Recent Transactions,270.0,10,3,0.862,,0,3.0
C10507,2026-02-07,21,New Platform,Balance Inquiry,123.0,4,0,0.953,196.0,0,
C10508,2026-02-07,22,Legacy IVR,Recent Transactions,255.0,8,1,,239.0,0,3.0
C10509,2026-02-08,6,Legacy IVR,Make a Payment,274.0,7,1,0.697,305.0,0,5.0
C10510,2026-02-08,8,Legacy IVR,Make a Payment,269.0,7,2,0.87,203.0,0,4.0
C10511,2026-02-08,10,New Platform,Rewards Redemption,280.0,9,1,0.885,215.0,0,4.0
C10512,2026-02-08,10,New Platform,Recent Transactions,190.0,6,0,0.847,214.0,0,5.0
C10513,2026-02-08,10,Legacy IVR,Make a Payment,316.0,10,1,0.868,154.0,0,4.0
C10514,2026-02-08,11,New Platform,Make a Payment,270.0,7,1,0.967,226.0,0,3.0
C10515,2026-02-08,12,Legacy IVR,Cancel a Payment,445.0,9,2,0.824,224.0,1,2.0
C10516,2026-02-08,12,New Platform,Make a Payment,245.0,7,2,0.87,179.0,0,4.0
C10517,2026-02-08,13,New Platform,Make a Payment,257.0,7,0,,198.0,0,4.0
C10518,2026-02-08,13,New Platform,Cancel a Payment,264.0,9,0,0.872,151.0,0,
C10519,2026-02-08,14,Legacy IVR,Rewards Redemption,252.0,5,1,0.896,321.0,0,4.0
C10520,2026-02-08,14,Legacy IVR,Make a Payment,473.0,8,1,0.882,225.0,1,2.0
C10521,2026-02-08,15,Legacy IVR,Cancel a Payment,288.0,4,0,0.79,228.0,0,5.0
C10522,2026-02-08,18,Legacy IVR,Make a Payment,337.0,11,2,0.546,331.0,0,5.0
C10523,2026-02-08,20,New Platform,Cancel a Payment,249.0,7,0,0.93,201.0,0,3.0
C10524,2026-02-08,21,Legacy IVR,Make a Payment,337.0,5,1,0.852,257.0,0,5.0
C10525,2026-02-09,8,Legacy IVR,Balance Inquiry,183.0,7,2,0.935,240.0,0,4.0
C10526,2026-02-09,9,Legacy IVR,Make a Payment,288.0,6,3,0.885,243.0,0,
C10527,2026-02-09,10,Legacy IVR,Make a Payment,360.0,7,2,0.766,313.0,0,3.0
C10528,2026-02-09,11,Legacy IVR,Make a Payment,300.0,8,1,0.887,269.0,0,5.0
C10529,2026-02-09,11,Legacy IVR,Balance Inquiry,169.0,6,2,0.704,237.0,0,4.0
C10530,2026-02-09,11,Legacy IVR,Balance Inquiry,158.0,7,1,0.679,133.0,0,4.0
C10531,2026-02-09,11,New Platform,Recent Transactions,143.0,5,1,0.846,153.0,0,4.0
C10532,2026-02-09,12,Legacy IVR,Make a Payment,252.0,8,1,0.747,197.0,0,4.0
C10533,2026-02-09,12,Legacy IVR,Make a Payment,274.0,8,1,0.938,326.0,0,3.0
C10534,2026-02-09,17,Legacy IVR,Make a Payment,210.0,8,2,0.739,150.0,0,4.0
C10535,2026-02-09,20,New Platform,Recent Transactions,130.0,3,0,0.926,141.0,0,5.0
C10536,2026-02-09,21,New Platform,Cancel a Payment,431.0,8,2,0.978,152.0,1,3.0
C10537,2026-02-09,22,New Platform,Cancel a Payment,225.0,6,0,0.823,199.0,0,4.0
C10538,2026-02-10,7,Legacy IVR,Balance Inquiry,132.0,5,1,0.92,,0,5.0
C10539,2026-02-10,7,Legacy IVR,Cancel a Payment,276.0,7,1,,251.0,0,3.0
C10540,2026-02-10,7,Legacy IVR,Recent Transactions,291.0,6,0,0.749,227.0,0,5.0
C10541,2026-02-10,7,New Platform,,231.0,9,0,,206.0,0,4.0
C10542,2026-02-10,9,Legacy IVR,Recent Transactions,125.0,4,0,0.849,224.0,0,4.0
C10543,2026-02-10,10,Legacy IVR,Balance Inquiry,139.0,5,1,,137.0,0,
C10544,2026-02-10,14,Legacy IVR,Recent Transactions,335.0,8,1,0.838,152.0,1,3.0
C10545,2026-02-10,14,Legacy IVR,Recent Transactions,200.0,5,0,0.873,194.0,0,
C10546,2026-02-10,15,Legacy IVR,Recent Transactions,228.0,6,2,,243.0,0,3.0
C10547,2026-02-10,16,Legacy IVR,Recent Transactions,146.0,3,0,0.748,308.0,0,4.0
C10548,2026-02-10,17,Legacy IVR,Cancel a Payment,280.0,6,0,0.877,222.0,0,4.0
C10549,2026-02-10,18,New Platform,Recent Transactions,154.0,6,0,0.923,126.0,0,4.0
C10550,2026-02-10,18,New Platform,Cancel a Payment,259.0,8,0,0.953,130.0,0,4.0
C10551,2026-02-10,18,Legacy IVR,Make a Payment,298.0,7,1,0.79,236.0,0,5.0
C10552,2026-02-10,18,Legacy IVR,Make a Payment,223.0,6,0,0.781,138.0,0,4.0
C10553,2026-02-10,21,Legacy IVR,Make a Payment,289.0,7,0,0.791,233.0,0,5.0
C10554,2026-02-11,6,Legacy IVR,Recent Transactions,397.0,5,1,0.585,302.0,1,3.0
C10555,2026-02-11,7,New Platform,Rewards Redemption,444.0,9,4,,218.0,1,2.0
C10556,2026-02-11,8,Legacy IVR,Balance Inquiry,259.0,6,1,0.845,2000.0,0,4.0
C10557,2026-02-11,8,Legacy IVR,Make a Payment,395.0,11,4,0.887,417.0,0,2.0
C10558,2026-02-11,9,New Platform,Cancel a Payment,220.0,5,0,0.845,181.0,0,4.0
C10559,2026-02-11,9,New Platform,Cancel a Payment,238.0,5,0,0.936,,0,3.0
C10560,2026-02-11,11,Legacy IVR,Balance Inquiry,143.0,5,0,0.73,192.0,0,4.0
C10561,2026-02-11,11,Legacy IVR,Rewards Redemption,329.0,7,1,0.656,169.0,0,4.0
